EXIF Data;1;2
SourceFile;Pictures/DSC_0033.JPG;Pictures/DSC_0042.JPG
ExifToolVersion;10.61;10.61
FileName;DSC_0033.JPG;DSC_0042.JPG
Directory;Pictures;Pictures
FileSize;4487561;11244368
FileModifyDate;2017:11:13 17:49:42+01:00;2017:11:13 17:49:42+01:00
FileAccessDate;2018:01:05 15:15:54+01:00;2018:01:05 15:15:54+01:00
FileCreateDate;2018:01:05 15:15:54+01:00;2018:01:05 15:15:54+01:00
FilePermissions;666;666
FileType;JPEG;JPEG
FileTypeExtension;JPG;JPG
MIMEType;image/jpeg;image/jpeg
ExifByteOrder;II;MM
Make;Sony;Sony
Model;G8341;G8341
Orientation;6;0
XResolution;72;NA
YResolution;72;NA
ResolutionUnit;2;NA
Software;47.1.A.2.297_0_a600;NA
ModifyDate;2017:10:14 12:23:24;2017:10:14 13:17:04
YCbCrPositioning;1;NA
ExposureTime;8.00E-04;6.00E-04
FNumber;2;NA
ISO;40;40
ExifVersion;231;NA
DateTimeOriginal;2017:10:14 12:23:24;2017:10:14 13:17:04
CreateDate;2017:10:14 12:23:24;2017:10:14 13:17:04
OffsetTime;+02:00;NA
OffsetTimeOriginal;+02:00;NA
OffsetTimeDigitized;+02:00;NA
ComponentsConfiguration;1 2 3 0;NA
ShutterSpeedValue;0.000804288;NA
ExposureCompensation;0;NA
MeteringMode;5;NA
LightSource;0;0
Flash;16;NA
FocalLength;4.4;NA
SoftSkinEffect;0;NA
FaceInfoOffset;94;NA
SonyDateTime;2017:10:14 12:23:24;NA
SonyImageHeight;3792;NA
SonyImageWidth;5056;NA
FacesDetected;0;NA
FaceInfoLength;26;NA
MetaVersion;;NA
DistortionCorrParamsPresent;30;NA
DistortionCorrection;0;NA
LensFormat;37;NA
LensMount;46;NA
VignettingCorrParams;25973 16979 10549 12582 18490 25174 25704 19033 12605 8742 13612 18494 21584 19025 13888 8748;NA
ChromaticAberrationCorrParams;9758 13615 16443 16450 13884 9518 29 9501 12844 14902 14908 12342 8746 8731 12843 17210 19786 17226 12601 7977 12070 17208 23889 23905 17489 11832 10531 15666 24397 30062 24430 15693;NA
DistortionCorrParams;25944 25963 18776 12347 8740 13612 18750 22098 19027 13375 8234 9758 13614 16700 16964 13628;NA
SubSecTime;899561;NA
SubSecTimeOriginal;899561;NA
SubSecTimeDigitized;899561;NA
FlashpixVersion;100;NA
ColorSpace;1;NA
ExifImageWidth;5056;NA
ExifImageHeight;3792;NA
InteropIndex;R98;NA
InteropVersion;100;NA
CustomRendered;0;NA
ExposureMode;0;NA
WhiteBalance;0;NA
DigitalZoomRatio;1.71;NA
SceneCaptureType;1;NA
SubjectDistanceRange;0;NA
GPSVersionID;2 2 0 0;NA
GPSLatitudeRef;N;N
GPSLongitudeRef;E;E
GPSAltitudeRef;0;NA
GPSTimeStamp;10:23:24;NA
GPSStatus;A;NA
GPSMapDatum;WGS-84;NA
GPSProcessingMethod;gps;NA
GPSDateStamp;2017:10:14;NA
Compression;6;NA
ThumbnailOffset;32094;NA
ThumbnailLength;4256;NA
XMPToolkit;XMP Core 5.1.2;NA
Rating;0;NA
Version;2;NA
CameraFacing;Back;NA
AsrSceneMode;Landscape;NA
AsrSceneCondition;Auto;NA
AsrClimaxScene;None;NA
AsrClimaxDuration;0;NA
AsrIsMacroRange;0;NA
FocusState;Inactive;NA
FocusAreaNum;1;NA
FocusPosX;0;NA
FocusPosY;0;NA
FocusAreaWidth;0;NA
FocusAreaHeight;0;NA
FocusDistance;2105.756104;NA
FocusIsLensMoving;0;NA
Aaaa;90000000,e0000000;NA
Aaab;ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,04720000,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff,ffffffff;NA
Abaa;05000000,1e000000;NA
